uuid,cancelsurveyflag
00048f4f-5662-447e-bd5d-3a6da323aa67,1
00083146-110c-47ad-a21c-1a9367b9d450,0
000970a7-a33e-4462-a87b-c0bf7beccc62,1
000b12c4-b714-41e3-93b2-401cb85a60fc,1
000b45c6-428a-49dd-9149-9246007d224c,0
000fffdb-2978-47e3-b9e7-06fd166439c4,0
00137f7c-0d4e-4719-a72f-e95922a1af90,0
001ae547-1eb4-41da-898c-5b13e3d2e26f,1
001d0f55-d57b-4f3e-a996-3ee5e2bf0e66,0
002096db-628b-41ea-bf78-1c372a319180,0
002581db-b5ce-4f3f-b3b2-202c5223de15,1
002685b2-3907-4287-aba3-8b5ab3d45876,0
002cb437-4333-49e8-bf17-89ba2da3ece0,0
003686eb-bda7-4aa5-8891-2c240f4ad200,0
0043cb70-267e-4ef5-8d03-d8aa0784ac9a,1
004ae2e9-ef57-421f-9505-d39a03f89c83,0
004c40e9-b72e-4aae-a5fa-5c8f813ab555,1
006ed3a9-2a20-49a4-bc9d-aca92987ef64,1
00741fcd-9ad7-4d5b-a3ca-97297ae33249,0
0074c040-c006-4dd9-9b38-66432a06f3ad,1
007867c2-5505-456e-bc3f-ff5e318f7adb,1
0081989d-ed85-4a0e-849d-686a9affd200,0
0083330c-81be-48a8-94a9-132622c8bdb7,0
00917dc3-793c-4934-b349-1d037c00e971,1
009bede2-8dd3-4777-b2de-509a59fce9e1,1
009daf59-cf80-4a05-aafe-1ac82e5cb0f6,0
00a086b3-5adb-4176-9606-d6897707e442,1
00a6d75c-347e-45a0-b411-c5d6cf2e2ab3,1
00ab1aab-b61d-4ddf-bf65-30f77d5de3ae,1
00bae5a6-4647-44a8-962e-a9507381ed83,0
00c3a61c-32fe-4f7c-8627-721512a778f6,1
00c55e4b-c714-458b-9ef6-baa33dcdc11d,1
00c9ab4c-53bd-464c-9517-b0d49fd15bcb,0
00ca58fb-0fc1-473c-9b65-338c15478669,1
00ce17b6-ab6f-4135-a7f2-2d0acd09c08f,1
00d61456-4ea3-4d6a-9d9d-fef517ff25f4,1
00d68ad6-2224-466f-864b-baac1e64cb66,1
00daedba-beb6-4dac-8dc4-ba42a11e5b19,0
00db0268-87be-4e3e-932f-e19237ea83ec,1
00ddb2fa-5d79-40ce-ac33-839f6bf02094,1
00ea145d-e4bd-4715-a793-db5dba1cee70,1
00ecf695-16a0-4ad2-957f-22f27ac1c805,1
00eec8af-5c56-4bb9-b624-72f23d90d1a6,1
00f92a68-bbbd-4dce-8f90-3ef1406b7690,1
00ff5a44-d28f-40ea-81ce-c1e51d86b59f,0
010cf2b6-8a59-48f4-8e2b-a41c9e246eef,1
0112f3b3-cb92-4358-9d9d-a2c939a0383c,0
011aeca2-6b35-4c16-908f-42e6d1fe19a1,0
01238aee-c33c-4826-8b99-2ef9043cb3aa,0
012abcb1-6844-45d4-a704-c51227c8ef2b,1
013a4e21-6cc0-4eb2-95d3-adb08ed63b9f,0
014428ed-2a23-401e-a38a-b9e5d3bbdd3e,1
014c811a-a08f-49bb-8912-42410753d780,0
014d187a-dab9-4521-8d76-95b88de4a33a,0
0152b84c-8b56-46a7-a6c3-ddcb866fca7d,1
01556de4-386a-46ef-add6-be87313a00b0,0
01575a65-6b60-4578-819b-7e23f16fb092,1
015883aa-9b58-42cf-bdbb-dd4289ef84e5,1
01620da8-d36f-43b4-a802-dcd74022d376,1
01672d93-9378-4c30-98cc-02052e8e7296,1
016b72a8-d5ea-40ed-b7f4-d3a6e45159c8,1
016c75d2-4e70-4d00-97f4-2483bc17933c,1
016ef462-e45f-49ad-92b5-6b91db99e9f6,1
01901468-ffe3-4fe2-af27-7350cef83b56,0
01940f3f-5223-49ec-bb64-58a7f27ba2de,1
019d2b4a-019f-4b88-b630-63c70393b7ec,1
019d2cb6-3a1d-4e19-8716-df8b72ad2a27,1
019eb1ec-5f70-4b06-b4b4-57efd2008a8c,0
01b19d91-f4cd-40eb-b871-d3210cec7edf,1
01b49f2d-686c-4c48-9c37-e2da6a976d6d,0
01b55307-f643-4f86-869c-27ac7ac0e92d,1
01bc4fe0-0b68-49a4-8b9e-25d2f9e6887f,0
01be0dec-4709-4f3b-9290-e5fe5da47ab6,1
01c63d5f-a5f5-4782-a422-6ce01b15f5ca,1
01c9e2d9-1f41-4335-95a3-20b2ae6eb394,0
01ccbcef-a277-405e-99b5-6e0da1352d3c,0
01ccfcb2-7d90-4ce7-b8f4-7a4205143a16,0
01d34469-d94a-4b17-b2cb-9b5121cc50b6,0
01e14457-aa69-4c60-bcb9-38ab7e9c8422,0
01e27cf9-3715-4cfe-84ae-2057015332a4,1
01e61597-c72c-400d-8b70-6d2a34e58281,0
01e84e0e-3bf3-4d45-ba9e-c86851b80b4d,0
01edf3d6-3081-4763-9b9a-a0984da7bea7,1
01efb702-7872-4959-887a-293b360d3cec,0
01f59ba8-1dd7-4c84-8d84-e04b17aaa67e,0
01f9213d-252c-4004-ada3-92bacebdcb2c,0
01f968b4-cb57-49f4-a133-4c811c49ba74,1
01fd2c86-8c5d-406f-bfc9-1539c5570871,1
020eb92c-f9be-4167-86f7-e51fed4ff433,0
02115874-b23a-4976-8a49-eb2f049586f4,0
02175f93-5d33-444a-9c1b-610fa9de2a0f,1
021d855d-924a-4785-a604-a58b80c3dfba,0
022cecde-d60d-4e52-a26c-7b1ffa74833f,1
023967ff-6b4d-4c44-b397-836a5e0797ef,1
0248b2aa-4f20-4586-b39c-76c911cede7b,1
02496854-4fde-48d8-ae64-ffeb31ec0e1c,1
024b1271-b855-48b4-ba76-063623f5f871,0
024fb9dc-158c-43a6-9da9-7b898c667147,1
025586e3-bfed-4ed8-94ee-b43f1a311299,1
0255db74-3dd9-41f9-b654-cbc5357803bd,1
025f466d-276c-45fd-9d1c-b237e60d017e,1
0260405e-601b-4150-9642-69d418d26d36,1
026dd4dd-2b7e-47d1-8300-801f8b6bf740,1
026df2a0-3b0f-4a7e-9c12-f165f6869904,1
026e6ecf-5a08-48b9-b962-cf526ca86312,1
0270ff41-e002-40b1-b835-cca6e7ad78c4,0
02719517-0f19-4443-9bda-b946e0f71273,1
027cd028-f57a-43c7-b791-6b3fb428f86b,1
0281b9fd-5f5e-46a6-b92a-10122ef0b10b,1
02a00da0-d683-40b7-a35b-55d052ef1110,0
02a09759-7fd8-47ee-b852-4c8b4a6fd806,1
02a6e932-85f8-46e0-a82c-989ea40cc806,0
02b09049-3ec4-4dad-8452-3b2ec8292f98,0
02b33f42-d39e-44d0-81ff-f79904befe0e,1
02b78f15-aa0f-4477-ad39-ddbf200bfb32,1
02bea586-553e-46a3-9219-4323e4470ed8,1
02d7d9fb-f783-4724-b26f-3c3892c56bac,0
02e09919-82fe-4c53-9125-e4f5ef0345af,1
02e7c995-3e0a-41c0-86a1-324010be2a00,0
02f16830-ea30-49d9-a58b-3567a8388e9a,0
02fa7f07-31d3-4773-90e0-ff5b2d09e346,1
03059a36-86ad-4af7-827a-8c8bdd85aac7,1
03067109-72e8-48e7-9ee3-f86f02e0cca0,0
0312b310-4ad4-4274-889e-ddbaa1c42533,1
03170656-ad51-4a2d-a056-11d2f0dcc0ee,1
031a94d2-e39c-42a3-bfc4-9fc135f675d0,0
031cb953-eb55-4bae-917f-abd732e90340,1
