Recorded Date,External Data Reference,Which areas of content would you like to see the FT cover more?,Q7 - Topics,"Overall, how would you rate our journalism?","How would you rate the FT on the following? - Data / Visual Journalism (e.g. charts & graphs)



1/7","How would you rate the FT on the following? - Videos



2/7","How would you rate the FT on the following? - Podcasts



3/7","How would you rate the FT on the following? - Newsletters



4/7","How would you rate the FT on the following? - Live Blogs



5/7","How would you rate the FT on the following? - Longform (The Big read)



6/7","How would you rate the FT on the following? - Live events, either online or in-person (FT Live)



7/7","How useful do you find the FT's coverage on the following specialist subjects? - Mergers & Acquisitions



1/7","How useful do you find the FT's coverage on the following specialist subjects? - Environmental, Social, and Corporate Governance



2/7","How useful do you find the FT's coverage on the following specialist subjects? - Trade



3/7","How useful do you find the FT's coverage on the following specialist subjects? - Climate & Business



4/7","How useful do you find the FT's coverage on the following specialist subjects? - Energy



5/7","How useful do you find the FT's coverage on the following specialist subjects? - Asian Tech



6/7","How useful do you find the FT's coverage on the following specialist subjects? - The Business of Sport



7/7"
22/11/2021 01:57:01,0faea540-5f4b-4646-addc-d116e938ee51,,,3,,,,,,,,,,,,,,
21/11/2021 20:40:19,0f3db8c4-b463-4f07-b40e-acb2cbe72f84,,,5 - Excellent,3,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,I'm not interested in this content,Moderately useful
21/11/2021 03:01:53,538e8b8c-14de-49cc-a823-f14c14cec38e,,,3,2,3,4,4,I haven't encountered / do not use these,4,I haven't encountered / do not use these,Very useful,Very useful,Very useful,Very useful,Very useful,Moderately useful,Moderately useful
19/11/2021 19:35:44,df151acb-d9b0-40db-81e5-3d972d010849,Am a new subscriber so can't say as yet.  I subscribed to fill quality gap in UK news from my other sources and to increase access to global business news,"UK,World",5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,Moderately useful,Moderately useful,Very useful,Very useful,Very useful,Very useful,Not very useful
18/11/2021 01:01:04,a6b56f95-4bd1-4b03-af2f-d702113f6a27,,,,,,,,,,,,,,,,,
17/11/2021 20:44:11,6fe48b05-0bca-4b72-b08a-bf5a3ccce001,"Balanced,  factual reporting on China.",Asia,4,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,4,I haven't encountered / do not use these,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,I'm not interested in this content
17/11/2021 18:20:23,db9ecc6d-dd7b-4681-be25-b647cc2c53c1,,,4,,,,,,,,,,,,,,
17/11/2021 16:20:18,e4781328-db51-4c78-825d-f32f1207df88,,,5 - Excellent,5 - Excellent,4,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,4,I haven't encountered / do not use these,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful
17/11/2021 15:33:04,f33e0eb1-5d23-4f7b-b04e-6f8fdf734e51,"Love the paper, sorry you feel you have to do this.  ",Unknown,5 - Excellent,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,I'm not interested in this content,Extremely useful,Very useful,Very useful,Very useful,Moderately useful,Slightly useful
17/11/2021 15:04:46,2e91a171-1637-464f-81f3-3104f2070d36,,,5 - Excellent,I haven't encountered / do not use these,I haven't encountered / do not use these,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,5 - Excellent,I haven't encountered / do not use these,,,,,,,
